"Name of grant recipient","Known as","Funding area/Panel","Grant category","Amount funded","Decision date","Closing date","State","Country","Federal electorate"
"Balla, Paola","Paola","Multi-Artform","Strategic International Market Fund","$5,000.00","25-JUN-2018","12-JUN-2018","VIC","AUSTRALIA","GELLIBRAND"
"BalletLab Association Inc","","Multi-Artform","Strategic International Market Fund","$27,995.00","25-JUN-2018","12-JUN-2018","VIC","AUSTRALIA","MELBOURNE PORTS"
"Batchelor, James","","Multi-Artform","Strategic International Market Fund","$18,957.00","25-JUN-2018","12-JUN-2018","VIC","AUSTRALIA","MELBOURNE"
"Finucane & Smith","","Multi-Artform","Strategic International Market Fund","$18,800.00","25-JUN-2018","12-JUN-2018","VIC","AUSTRALIA","MELBOURNE"
"First Peoples Music Collective","","Multi-Artform","Strategic International Market Fund","$28,920.00","25-JUN-2018","12-JUN-2018","NSW","AUSTRALIA","RICHMOND"
"Grieves, Genevieve","","Multi-Artform","Strategic International Market Fund","$5,000.00","25-JUN-2018","12-JUN-2018","VIC","AUSTRALIA","BATMAN"
"Hepi, Amrita","","Multi-Artform","Strategic International Market Fund","$30,000.00","25-JUN-2018","12-JUN-2018","NSW","AUSTRALIA","WENTWORTH"
"Lacey, Genevieve","","Multi-Artform","Strategic International Market Fund","$29,800.00","25-JUN-2018","12-JUN-2018","VIC","AUSTRALIA","WILLS"
"Norman, Sarah-Jane (SJ)","","Multi-Artform","Strategic International Market Fund","$5,000.00","25-JUN-2018","12-JUN-2018","VIC","AUSTRALIA","MELBOURNE"
"one step at a time like this","","Multi-Artform","Strategic International Market Fund","$18,514.00","25-JUN-2018","12-JUN-2018","VIC","AUSTRALIA","MELBOURNE"
"Performing Lines Limited","Performing Lines","Multi-Artform","Strategic International Market Fund","$14,405.00","25-JUN-2018","12-JUN-2018","NSW","AUSTRALIA","SYDNEY"
"PVI Collective Ltd","aka CIA Studios","Multi-Artform","Strategic International Market Fund","$27,439.00","25-JUN-2018","12-JUN-2018","WA","AUSTRALIA","PERTH"
"Randall, Mariaa","","Multi-Artform","Strategic International Market Fund","$5,000.00","25-JUN-2018","12-JUN-2018","VIC","AUSTRALIA","BENDIGO"
"Steamworks Arts Productions","Steamworks Arts","Multi-Artform","Strategic International Market Fund","$18,862.00","25-JUN-2018","12-JUN-2018","WA","AUSTRALIA","CURTIN"
"Supple Fox (Thomas Supple, Hannah Fox) & Byron Scullin","","Multi-Artform","Strategic International Market Fund","$28,074.00","25-JUN-2018","12-JUN-2018","VIC","AUSTRALIA","MELBOURNE"
"Zink, Liesel","","Multi-Artform","Strategic International Market Fund","$27,500.00","25-JUN-2018","12-JUN-2018","QLD","AUSTRALIA","BRISBANE"
"MacDonald, Fiona","Fi MacDonald","Multi-Artform","China Professional Placements","$12,000.00","13-JUN-2018","15-MAY-2018","QLD","AUSTRALIA","BRISBANE"
"Bendall, Chris","","Multi-Artform","ChinaSPAF","$3,500.00","07-JUN-2018","24-APR-2018","NSW","AUSTRALIA","REID"
"CDP Theatre Producers Pty Ltd","","Multi-Artform","ChinaSPAF","$3,000.00","07-JUN-2018","24-APR-2018","NSW","AUSTRALIA","SYDNEY"
"Finucane, Moira","","Multi-Artform","ChinaSPAF","$3,500.00","07-JUN-2018","24-APR-2018","VIC","AUSTRALIA","MELBOURNE PORTS"
"Performing Lines Limited","Performing Lines","Multi-Artform","ChinaSPAF","$3,500.00","07-JUN-2018","24-APR-2018","NSW","AUSTRALIA","SYDNEY"
"Serjeant, Emma","","Multi-Artform","ChinaSPAF","$3,000.00","07-JUN-2018","24-APR-2018","QLD","AUSTRALIA","LONGMAN"
"The Last Great Hunt","","Multi-Artform","ChinaSPAF","$3,000.00","07-JUN-2018","24-APR-2018","WA","AUSTRALIA","PERTH"
"Bangarra Dance Theatre Australia Limited","Bangarra Dance Theatre Ltd","Multi-Artform","Collaborative Arts Projects - Organisations","$83,513.00","06-JUN-2018","16-APR-2018","NSW","AUSTRALIA","SYDNEY"
"Black Swan State Theatre Company Ltd","","Multi-Artform","Collaborative Arts Projects - Organisations","$100,000.00","06-JUN-2018","16-APR-2018","WA","AUSTRALIA","PERTH"
"Melbourne Symphony Orchestra Holding Ltd","MSO","Multi-Artform","Collaborative Arts Projects - Organisations","$77,000.00","06-JUN-2018","16-APR-2018","VIC","AUSTRALIA","MELBOURNE PORTS"
"Opera Queensland Ltd","OperaQ","Multi-Artform","Collaborative Arts Projects - Organisations","$48,036.00","06-JUN-2018","16-APR-2018","QLD","AUSTRALIA","GRIFFITH"
"Queensland Theatre Company","","Multi-Artform","Collaborative Arts Projects - Organisations","$100,000.00","06-JUN-2018","16-APR-2018","QLD","AUSTRALIA","GRIFFITH"
"Sydney Theatre Company Limited","STC","Multi-Artform","Collaborative Arts Projects - Organisations","$85,129.00","06-JUN-2018","16-APR-2018","NSW","AUSTRALIA","SYDNEY"
"West Australian Ballet Company Inc","","Multi-Artform","Collaborative Arts Projects - Organisations","$72,000.00","06-JUN-2018","16-APR-2018","WA","AUSTRALIA","PERTH"
"Tom Horn and Gordon Hamilton","","Multi-Artform","In Residence at UKARIA","$6,784.00","01-JUN-2018","20-APR-2018","QLD","AUSTRALIA","BLAIR"
"Wales, Nick","","Multi-Artform","In Residence at UKARIA","$9,920.00","01-JUN-2018","20-APR-2018","NSW","AUSTRALIA","SYDNEY"
"Circa","Circa","Multi-Artform","CINARS","$3,000.00","31-MAY-2018","24-APR-2018","QLD","AUSTRALIA","BRISBANE"
"Ilbijerri Aboriginal and Torres Strait Islander Theatre Co-op","","Multi-Artform","CINARS","$3,000.00","31-MAY-2018","24-APR-2018","VIC","AUSTRALIA","MELBOURNE"
"Marrugeku Inc","","Multi-Artform","CINARS","$3,000.00","31-MAY-2018","24-APR-2018","WA","AUSTRALIA","DURACK"
"Performing Lines Limited","Performing Lines","Multi-Artform","CINARS","$3,000.00","31-MAY-2018","24-APR-2018","NSW","AUSTRALIA","SYDNEY"
"Restless Dance Theatre Inc","","Multi-Artform","CINARS","$3,000.00","31-MAY-2018","24-APR-2018","SA","AUSTRALIA","ADELAIDE"
"Shaun Parker & Company Ltd","","Multi-Artform","CINARS","$3,000.00","31-MAY-2018","24-APR-2018","NSW","AUSTRALIA","SYDNEY"
"Carmichael, Freja","","Multi-Artform","Strategic International Market Fund","$29,800.00","31-MAY-2018","12-JUN-2018","QLD","AUSTRALIA","GRIFFITH"
"Force Majeure","","Multi-Artform","Strategic International Market Fund","$30,000.00","31-MAY-2018","12-JUN-2018","NSW","AUSTRALIA","SYDNEY"
"Gravity and Other Myths","","Multi-Artform","Strategic International Market Fund","$30,000.00","31-MAY-2018","12-JUN-2018","SA","AUSTRALIA","ADELAIDE"
